Fold,Accuracy,Precision,Recall,F1,AUC
1,0.494419232184472,0.492405683488486,0.49507389162561577,0.4937361827560796,0.494421871295339
2,0.4949098491352876,0.49263959390862944,0.47807881773399014,0.48525,0.494841998654437
3,0.4970559371933268,0.4950544015825915,0.49310344827586206,0.4940769990128332,0.4970404826912057
4,0.49447988223748773,0.49227261211046364,0.4785714285714286,0.4853253403272137,0.4944176790950985
5,0.49521589793915605,0.493099121706399,0.4839901477832512,0.4885021752641392,0.49517200448791104
6,0.49570657507360155,0.49366162847391515,0.49889135254988914,0.4962627129028305,0.4957198028324819
7,0.5006133464180569,0.49850671976107513,0.4934712983493471,0.495976228797821,0.500583682402135
8,0.501594700686948,0.4995014955134596,0.49371766444937176,0.49659273943749227,0.5015619839471388
9,0.4932531894013739,0.49099099099099097,0.48337028824833705,0.4871508379888268,0.49321214143665326
10,0.4986506378802748,0.4965087281795511,0.4905149051490515,0.49349361754864296,0.4986168466619922
Mean,0.49658992481499853,0.4944640975715561,0.4888783242736145,0.49163668340358796,0.49655884935043926
Std,0.002818358645755573,0.002851612041276314,0.007308934067592638,0.004584712077199228,0.0028210442052333537
